Type,Object,Description
ip,103.163.187.11,APT -Q-27-Indian
ip,103.75.201.45,APT -Q-27-Indian
ip,157.240.9.36,APT -Q-27-Indian
ip,103.163.187.11,APT -Q-27-Indian
domain,pakdef.update.in,APT -Q-27-Indian
domain,mofa.auth.online,APT -Q-27-Indian
domain,login.sbp.tech,APT -Q-27-Indian
domain,c2.military.app.in,APT -Q-27-Indian
domain,army.login.verification.com,APT -Q-27-Indian
domain,rtd.update.node1.org,APT -Q-27-Indian
sha256,785f3ec7eb32f30b90cd0fcf3657d388b5ff4297f2f9716ff66e9b69c05ddd09,APT -Q-27-Indian
