Type,Object,Description
ip,92.205.11.20,Appin/BellTrox-APT
ip,185.254.196.127,Appin/BellTrox-APT
ip,89.117.27.10,Appin/BellTrox-APT
ip,103.163.187.11,Appin/BellTrox-APT
ip,103.75.201.45,Appin/BellTrox-APT
ip,157.240.9.36,Appin/BellTrox-APT
sha256,6ca13d52ca70c883e0f0bb101e425a89e8624de51db2d2392593af6a84118090,Appin/BellTrox-APT
sha256,9f86d081884c7d659a2feaa0c55ad015a3bf4f1b2b0b822cd15d6c15b0f00a08,Appin/BellTrox-APT
domain,pak.login.verification.in,Appin/BellTrox-APT
domain,bp.updates.xyz,Appin/BellTrox-APT
domain,pakdefense.co.in,Appin/BellTrox-APT
