Type,Object,Description
sha1,8a76768553b4287824e781a65977525ea51929ce,"Bitter (T-APT-17) alias @ Bitter Bug, Bitter Group)_indian"
sha1,9618a1d588746ba571be3cfef7d864ffd840d020,"Bitter (T-APT-17) alias @ Bitter Bug, Bitter Group)_indian"
sha1,6685758b4ddf8673c5c37c44209ebf18145fba91,"Bitter (T-APT-17) alias @ Bitter Bug, Bitter Group)_indian"
sha1,36d244241c9ed6cb526d706ab49c2324037fa48c,"Bitter (T-APT-17) alias @ Bitter Bug, Bitter Group)_indian"
sha1,47451a404a8acec6b5cee7e0c5cbc1bb19f1fa59,"Bitter (T-APT-17) alias @ Bitter Bug, Bitter Group)_indian"
sha256,faff45f233966452f54cfbf8c4c8072d1d919484f34b119bea1027a615c87907,"Bitter (T-APT-17) alias @ Bitter Bug, Bitter Group)_indian"
sha256,93fb036e65c0683af5ffb98e2b61e30499dec068a4e15bf3bec8066d3e246852,"Bitter (T-APT-17) alias @ Bitter Bug, Bitter Group)_indian"
domain,com.security.dracarysprotect,"Bitter (T-APT-17) alias @ Bitter Bug, Bitter Group)_indian"
domain,com.services.systemupdate,"Bitter (T-APT-17) alias @ Bitter Bug, Bitter Group)_indian"
domain,com.secure.tokenverify,"Bitter (T-APT-17) alias @ Bitter Bug, Bitter Group)_indian"
