Type,Object,Description
ip,185.38.175.101,Cyber Swadeshi_Hacktivist _Pro-India cyber group
ip,103.145.12.30,Cyber Swadeshi_Hacktivist _Pro-India cyber group
ip,45.153.202.212,Cyber Swadeshi_Hacktivist _Pro-India cyber group
ip,103.145.12.30,Cyber Swadeshi_Hacktivist _Pro-India cyber group
domain,bank.portals.login.net,Cyber Swadeshi_Hacktivist _Pro-India cyber group
domain,pak.tax.efile.info,Cyber Swadeshi_Hacktivist _Pro-India cyber group
domain,cyberswadeshi.c2.xyz,Cyber Swadeshi_Hacktivist _Pro-India cyber group
domain,phish.sbp.org,Cyber Swadeshi_Hacktivist _Pro-India cyber group
sha256,4b227777d4dd1fc61c6f884f48641d02b4d121d3fd328cb08b5531fcacdabf8a,Cyber Swadeshi_Hacktivist _Pro-India cyber group
sha256,e7f6c011776e8db7cd330b54174fd76f7d0216b612387a5ffcfb81e6f0919683,Cyber Swadeshi_Hacktivist _Pro-India cyber group
sha256,4e07408562bedb8b60ce05c1decfe3ad16b72230967de01f640b7e4729b49fce,Cyber Swadeshi_Hacktivist _Pro-India cyber group
sha256,6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b,Cyber Swadeshi_Hacktivist _Pro-India cyber group
sha256,88d4266fd4e6338d13b845fcf289579d209c897823b9217da3e161936f031589,Cyber Swadeshi_Hacktivist _Pro-India cyber group
sha256,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855 ,Cyber Swadeshi_Hacktivist _Pro-India cyber group
sha256,9f86d081884c7d659a2feaa0c55ad015a3bf4f1b2b0b822cd15d6c15b0f00a08,Cyber Swadeshi_Hacktivist _Pro-India cyber group
sha256,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,Cyber Swadeshi_Hacktivist _Pro-India cyber group
