Type,Object,Description
ip,45.114.118.200,PatchWork / Dropping Elephant
ip,103.137.190.81,PatchWork / Dropping Elephant
sha256,d9e373aeea5fe0c744f0de94fdd366b5b6da816209ac394cbbda1c64c03b50b1,PatchWork / Dropping Elephant
sha256,"
865f5b3b1ee94d89ad9a9840f49a17d477cddfc3742c5ef78d77a6027ad1caa5 ",PatchWork / Dropping Elephant
sha256,"
fa95fadc73e5617305a6b71f77e9d255d14402650075107f2272f131d3cf7b00 ",PatchWork / Dropping Elephant
sha256,aacaf712cf67176f159657be2fbd0fce018aa03b890cb1616b146eddb1de73be ,PatchWork / Dropping Elephant
sha256,512a83f1a6c404cb0ba679c7a2f3aa782bb5e17840d31a034de233f7500a6cb9,PatchWork / Dropping Elephant
sha256,57d761453bbc6ba9ace467f4491d7a19b9c7e097f81d9772efbcd2f43ada4dce,PatchWork / Dropping Elephant
sha256,"
a84b3dd5f7d29d8d257fdef0ede512ae09e6cd5be7681b9466a5c60f6f877c2b ",PatchWork / Dropping Elephant
sha256,76daea942654d8175f642696fc758b03767db14ca5dda9994797a3f95a34294a,PatchWork / Dropping Elephant
sha256,"
44ff1117bb0167f85d599236892deede636c358df3d8908582a6ce6a48070bd4 ",PatchWork / Dropping Elephant
sha256,"
5740947bb9267e1be8281edc31b3fb2d57a71d2c96a47eeeaa6482c0927aa6a4 ",PatchWork / Dropping Elephant
sha256,"
30735312101e60a697f161abba62ca359eed240d2e612b1ff7bed6523b28730d ",PatchWork / Dropping Elephant
sha256,76daea942654d8175f642696fc758b03767db14ca5dda9994797a3f95a34294a,PatchWork / Dropping Elephant
domain,pakfatf.report.com,PatchWork / Dropping Elephant
domain,mail.security.update.in,PatchWork / Dropping Elephant
domain,securegovfile.xyz,PatchWork / Dropping Elephant
