Type,Object,Description
domain,2x2mfeed.com,DNS threat actor
domain,6hjavd671.monster,DNS threat actor
domain,8kubuad816.monster,DNS threat actor
domain,aagbvpgc.com,DNS threat actor
domain,abbronzongor.com,DNS threat actor
domain,acedhpcgakx.com,DNS threat actor
domain,afpgocfgsd.com,DNS threat actor
domain,ahxtstylfuram.com,DNS threat actor
domain,aistekso.net,DNS threat actor
domain,alaiaoyvrft.com,DNS threat actor
domain,aldqcaedm.com,DNS threat actor
domain,apeergiwhagnaiy.com,DNS threat actor
domain,atlhrfnpc.top,DNS threat actor
domain,attepigom.com,DNS threat actor
domain,atvrietuhxeukww.com,DNS threat actor
domain,auqeaeehunyx.com,DNS threat actor
domain,auqxowxt.com,DNS threat actor
domain,ausoafab.net,DNS threat actor
domain,auwbioghc.com,DNS threat actor
domain,awjelrnkugdsb.xyz,DNS threat actor
domain,bbhhngntlqrkau.com,DNS threat actor
domain,bclwxbbhapondpw.xyz,DNS threat actor
domain,beegrikewol.com,DNS threat actor
domain,beewakiy.com,DNS threat actor
domain,bglbvjhoqomumtw.top,DNS threat actor
domain,bhxogodamtrcs.com,DNS threat actor
domain,bisheehee.com,DNS threat actor
domain,bjavvsmuqnob.com,DNS threat actor
domain,bjkurvapcbcpm.com,DNS threat actor
domain,bkbhxrdomvyea.xyz,DNS threat actor
domain,bknbktxk.com,DNS threat actor
domain,blctymnbiel.xyz,DNS threat actor
domain,bnhnkbknlfnniug.xyz,DNS threat actor
domain,bnyrfdjmtpm.com,DNS threat actor
domain,bontebuckbarathronchilblains.com,DNS threat actor
domain,brqbobrnrsfo.com,DNS threat actor
domain,bugroodrirs.net,DNS threat actor
domain,bxpwfdmmhlgccon.com,DNS threat actor
domain,byxdtgvsgg.com,DNS threat actor
domain,cakangautchus.net,DNS threat actor
domain,cakoubso.net,DNS threat actor
domain,cecmuthejooz.com,DNS threat actor
domain,ceezepegleze.xyz,DNS threat actor
domain,cellqsqgb.com,DNS threat actor
domain,chgvqspgtfhru.com,DNS threat actor
domain,cidaridnonemptycaner.com,DNS threat actor
domain,cistuloo.net,DNS threat actor
domain,click-fowperception.com,DNS threat actor
domain,cnyxxtpkihuafj.com,DNS threat actor
domain,cophsdtnfd.com,DNS threat actor
domain,cprprnlmfunb.com,DNS threat actor
domain,cqdfsegghbweir.com,DNS threat actor
domain,cqmtnvoqpv.com,DNS threat actor
domain,cvifqrjkfdioa.xyz,DNS threat actor
domain,cytydlbr.com,DNS threat actor
domain,dbosowwfgb.com,DNS threat actor
domain,deeheede.com,DNS threat actor
domain,dfthpcgg.com,DNS threat actor
domain,dhaaopraa.top,DNS threat actor
domain,douhooke.net,DNS threat actor
domain,dpmawsiaaep.com,DNS threat actor
domain,dqfexvdc.com,DNS threat actor
domain,dqxieblh.com,DNS threat actor
domain,drulwrbsmd.com,DNS threat actor
domain,dyoiqojlyntvy.com,DNS threat actor
domain,easyytask.monster,DNS threat actor
domain,echoescaptured.com,DNS threat actor
domain,eebalraumukugh.com,DNS threat actor
domain,eequdtxwvgj.com,DNS threat actor
domain,ehnvkwsadnwjee.com,DNS threat actor
domain,enjgryoofd.top,DNS threat actor
domain,eoyrsogdiba.com,DNS threat actor
domain,eppeuqxfhlh.com,DNS threat actor
domain,erygboayoojvyfj.com,DNS threat actor
domain,eveenaiftoa.com,DNS threat actor
domain,ewcpwkqawso.com,DNS threat actor
domain,eyiqnwbfvsy.com,DNS threat actor
domain,fafasiqllhxg.com,DNS threat actor
domain,fgtnyfuk.xyz,DNS threat actor
domain,fle-autolink-all-easy.com,DNS threat actor
domain,flepartallfunclub.com,DNS threat actor
domain,folsmmkfvqc.com,DNS threat actor
domain,ftlpfclnognttf.com,DNS threat actor
domain,fujeriroupumty.net,DNS threat actor
domain,fvjkbfteldrl.com,DNS threat actor
domain,fylulqcnpjntxec.xyz,DNS threat actor
domain,fyqbjoqnti.com,DNS threat actor
domain,gendksxc.top,DNS threat actor
domain,generate-click.com,DNS threat actor
domain,gfyeurdfas.com,DNS threat actor
domain,gillpwiul.com,DNS threat actor
domain,gioismfcpjhjm.com,DNS threat actor
domain,giufjcfjdv.com,DNS threat actor
domain,gkccvaxe.com,DNS threat actor
domain,glihargi.net,DNS threat actor
domain,glipteechath.net,DNS threat actor
domain,goocivede.com,DNS threat actor
domain,gouloupt.com,DNS threat actor
domain,gpeveychsury.top,DNS threat actor
domain,gqqsbjltwgrpppe.com,DNS threat actor
domain,grairgoo.com,DNS threat actor
domain,grangilo.net,DNS threat actor
domain,greedrum.net,DNS threat actor
domain,grlxtbqfepwc.com,DNS threat actor
domain,grouxauksu.xyz,DNS threat actor
domain,gxgkbslq.com,DNS threat actor
domain,gxtjytxk.com,DNS threat actor
domain,gyocurnwwwmk.xyz,DNS threat actor
domain,hbwxjbtcjqc.com,DNS threat actor
domain,hhyefjmx.com,DNS threat actor
domain,hmeqpjky.xyz,DNS threat actor
