type,Object ,Description
domain,acrepantherrecite.com,DNS threat actor 
domain,alienateclergy.com,DNS threat actor 
domain,angrilyunbuttoncouch.com,DNS threat actor 
domain,antennarollcellar.com,DNS threat actor 
domain,arrivedmuffin.com,DNS threat actor 
domain,atmosphericurinebra.com,DNS threat actor 
domain,avouchfurtherprecarious.com,DNS threat actor 
domain,banistershand.com,DNS threat actor 
domain,banquetpettyduchess.com,DNS threat actor 
domain,beechverandahvanilla.com,DNS threat actor 
domain,benevolentacclaim.com,DNS threat actor 
domain,besidesparties.com,DNS threat actor 
domain,blubberobsessionsound.com,DNS threat actor 
domain,braggingbehave.com,DNS threat actor 
domain,brieflysympatheticexcellent.com,DNS threat actor 
domain,broomvaluable.com,DNS threat actor 
domain,burialwatchman.com,DNS threat actor 
domain,calamitybusy.com,DNS threat actor 
domain,cavityencouragement.com,DNS threat actor 
domain,celebratethreaten.com,DNS threat actor 
domain,chareasilydrone.com,DNS threat actor 
domain,chatterhospitalityhaze.com,DNS threat actor 
domain,classyseventh.com,DNS threat actor 
domain,clergywish.com,DNS threat actor 
domain,clevernessdeclare.com,DNS threat actor 
domain,colinexperiment.com,DNS threat actor 
domain,collectionsmast.com,DNS threat actor 
domain,compatriotelephant.com,DNS threat actor 
domain,conquercaniceberg.com,DNS threat actor 
domain,cooperateawardempower.com,DNS threat actor 
domain,culturewheelsissue.com,DNS threat actor 
domain,deaconsodimmigration.com,DNS threat actor 
domain,indicator,DNS threat actor 
domain,debtsbosom.com,DNS threat actor 
domain,defectiveprogrammesunique.com,DNS threat actor 
domain,desverificationusefully.com,DNS threat actor 
domain,didsupervisionallergic.com,DNS threat actor 
domain,differenceimplementation.com,DNS threat actor 
domain,diffuseinclinationafforded.com,DNS threat actor 
domain,disastrousdetestablegoody.com,DNS threat actor 
domain,dishwasherperspire.com,DNS threat actor 
domain,distinguishtendhypothesis.com,DNS threat actor 
domain,ditchrespectableallocation.com,DNS threat actor 
domain,domicilereduction.com,DNS threat actor 
domain,dragfault.com,DNS threat actor 
domain,eccentricchronic.com,DNS threat actor 
domain,egyptianintegration.com,DNS threat actor 
domain,emperorsmall.com,DNS threat actor 
domain,endingremoveecology.com,DNS threat actor 
domain,exactsag.com,DNS threat actor 
domain,exasperationdashed.com,DNS threat actor 
domain,favoritenought.com,DNS threat actor 
domain,featuresplaceprotection.com,DNS threat actor 
domain,feedbackautolag.com,DNS threat actor 
domain,flakesyet.com,DNS threat actor 
domain,fledbeset.com,DNS threat actor 
domain,fortressanthillamendment.com,DNS threat actor 
domain,framingmanoeuvre.com,DNS threat actor 
domain,freakyreelartful.com,DNS threat actor 
domain,frolicbrook.com,DNS threat actor 
domain,gagebonus.com,DNS threat actor 
domain,gauzedecoratedcomplimentary.com,DNS threat actor 
domain,gloriahell.com,DNS threat actor 
domain,gobletclosed.com,DNS threat actor 
domain,gradualmadness.com,DNS threat actor 
domain,grubpercussive.com,DNS threat actor 
domain,guestsfingertipchristian.com,DNS threat actor 
domain,indicator,DNS threat actor 
domain,halthomosexual.com,DNS threat actor 
domain,hankrivuletperjury.com,DNS threat actor 
domain,harryheapanything.com,DNS threat actor 
domain,hazelocomotive.com,DNS threat actor 
domain,helpedlightlyarbour.com,DNS threat actor 
domain,hencemakesheavy.com,DNS threat actor 
domain,highnessagriculture.com,DNS threat actor 
domain,hoarsedetachlocomotive.com,DNS threat actor 
domain,honeycombfingerbunch.com,DNS threat actor 
domain,improvementscaptivatevenus.com,DNS threat actor 
domain,indicateconstablebrushed.com,DNS threat actor 
domain,influxdepressedbushes.com,DNS threat actor 
domain,initiallydoze.com,DNS threat actor 
domain,insistballisticclone.com,DNS threat actor 
domain,intendwaitresssalty.com,DNS threat actor 
domain,interimfish.com,DNS threat actor 
domain,joltidiotichighest.com,DNS threat actor 
domain,judgementcorruptattack.com,DNS threat actor 
domain,latticedispleased.com,DNS threat actor 
domain,lawsbuffet.com,DNS threat actor 
domain,leapedboar.com,DNS threat actor 
